State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/1/00,Micrograms/cubic meter (LC),None,1,100,23.2,23.2,0,77,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/2/00,Micrograms/cubic meter (LC),None,1,100,7.5,7.5,0,42,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/4/00,Micrograms/cubic meter (LC),None,1,100,12.3,12.3,0,57,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/7/00,Micrograms/cubic meter (LC),None,1,100,17.1,17.1,0,66,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/8/00,Micrograms/cubic meter (LC),None,1,100,20,20,0,71,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/9/00,Micrograms/cubic meter (LC),None,1,100,42.3,42.3,0,118,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/10/00,Micrograms/cubic meter (LC),None,1,100,65.2,65.2,0,158,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/11/00,Micrograms/cubic meter (LC),None,1,100,59.5,59.5,0,154,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/12/00,Micrograms/cubic meter (LC),None,1,100,61.6,61.6,0,155,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/13/00,Micrograms/cubic meter (LC),None,1,100,18.4,18.4,0,68,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/14/00,Micrograms/cubic meter (LC),None,1,100,8.4,8.4,0,47,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/15/00,Micrograms/cubic meter (LC),None,1,100,13.1,13.1,0,58,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/16/00,Micrograms/cubic meter (LC),None,1,100,22.6,22.6,0,76,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/17/00,Micrograms/cubic meter (LC),None,1,100,8.5,8.5,0,47,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/18/00,Micrograms/cubic meter (LC),None,1,100,10.2,10.2,0,53,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/19/00,Micrograms/cubic meter (LC),None,1,100,9.3,9.3,0,51,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/20/00,Micrograms/cubic meter (LC),None,1,100,18.3,18.3,0,68,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/21/00,Micrograms/cubic meter (LC),None,1,100,17.3,17.3,0,66,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/22/00,Micrograms/cubic meter (LC),None,1,100,30.6,30.6,0,91,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/23/00,Micrograms/cubic meter (LC),None,1,100,52.7,52.7,0,143,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/24/00,Micrograms/cubic meter (LC),None,1,100,24.5,24.5,0,80,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/25/00,Micrograms/cubic meter (LC),None,1,100,10.6,10.6,0,54,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/26/00,Micrograms/cubic meter (LC),None,1,100,10,10,0,53,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/27/00,Micrograms/cubic meter (LC),None,1,100,21.3,21.3,0,74,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/28/00,Micrograms/cubic meter (LC),None,1,100,29.1,29.1,0,88,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/29/00,Micrograms/cubic meter (LC),None,1,100,27.4,27.4,0,85,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/30/00,Micrograms/cubic meter (LC),None,1,100,33.6,33.6,0,97,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,1/31/00,Micrograms/cubic meter (LC),None,1,100,13.9,13.9,0,60,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/1/00,Micrograms/cubic meter (LC),None,1,100,7.4,7.4,0,41,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/2/00,Micrograms/cubic meter (LC),None,1,100,4.9,4.9,0,27,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/3/00,Micrograms/cubic meter (LC),None,1,100,6.1,6.1,0,34,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/4/00,Micrograms/cubic meter (LC),None,1,100,9.8,9.8,0,52,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/5/00,Micrograms/cubic meter (LC),None,1,100,24.8,24.8,0,80,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/6/00,Micrograms/cubic meter (LC),None,1,100,30.1,30.1,0,90,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/7/00,Micrograms/cubic meter (LC),None,1,100,15.8,15.8,0,63,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/9/00,Micrograms/cubic meter (LC),None,1,100,27.3,27.3,0,85,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/10/00,Micrograms/cubic meter (LC),None,1,100,17.5,17.5,0,67,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/11/00,Micrograms/cubic meter (LC),None,1,100,9.1,9.1,0,51,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/12/00,Micrograms/cubic meter (LC),None,1,100,4.7,4.7,0,26,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/13/00,Micrograms/cubic meter (LC),None,1,100,4.7,4.7,0,26,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/14/00,Micrograms/cubic meter (LC),None,1,100,7.3,7.3,0,41,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/15/00,Micrograms/cubic meter (LC),None,1,100,17.2,17.2,0,66,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/16/00,Micrograms/cubic meter (LC),None,1,100,12.2,12.2,0,57,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/17/00,Micrograms/cubic meter (LC),None,1,100,6.2,6.2,0,34,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/18/00,Micrograms/cubic meter (LC),None,1,100,10.1,10.1,0,53,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/19/00,Micrograms/cubic meter (LC),None,1,100,3.7,3.7,0,21,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/20/00,Micrograms/cubic meter (LC),None,1,100,3.5,3.5,0,19,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/21/00,Micrograms/cubic meter (LC),None,1,100,1.5,1.5,0,8,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/22/00,Micrograms/cubic meter (LC),None,1,100,9.9,9.9,0,52,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/23/00,Micrograms/cubic meter (LC),None,1,100,5.2,5.2,0,29,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/24/00,Micrograms/cubic meter (LC),None,1,100,6.1,6.1,0,34,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/25/00,Micrograms/cubic meter (LC),None,1,100,12.2,12.2,0,57,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/26/00,Micrograms/cubic meter (LC),None,1,100,24.4,24.4,0,80,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/27/00,Micrograms/cubic meter (LC),None,1,100,26.9,26.9,0,84,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/28/00,Micrograms/cubic meter (LC),None,1,100,8.3,8.3,0,46,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2/29/00,Micrograms/cubic meter (LC),None,1,100,13.7,13.7,0,60,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/1/00,Micrograms/cubic meter (LC),None,1,100,8.8,8.8,0,49,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/2/00,Micrograms/cubic meter (LC),None,1,100,15.3,15.3,0,63,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/3/00,Micrograms/cubic meter (LC),None,1,100,16.5,16.5,0,65,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/4/00,Micrograms/cubic meter (LC),None,1,100,9,9,0,50,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/5/00,Micrograms/cubic meter (LC),None,1,100,4.8,4.8,0,27,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/6/00,Micrograms/cubic meter (LC),None,1,100,7,7,0,39,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/7/00,Micrograms/cubic meter (LC),None,1,100,9.8,9.8,0,52,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/8/00,Micrograms/cubic meter (LC),None,1,100,3.3,3.3,0,18,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/9/00,Micrograms/cubic meter (LC),None,1,100,9.9,9.9,0,52,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
6,37,2,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,3/10/00,Micrograms/cubic meter (LC),None,1,100,9.2,9.2,0,51,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,"Los Angeles-Long Beach-Anaheim, CA",5/19/24
